features,Coefficients
poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal^2,-0.162994451
poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1^3,0.162452279
poly__Contacts_Count_12_mon Dependent_count^2 Total_Amt_Chng_Q4_Q1,0.160836172
poly__Avg_Utilization_Ratio Dependent_count Total_Trans_Ct^2,-0.16080984
poly__Avg_Utilization_Ratio Contacts_Count_12_mon^2 Total_Revolving_Bal,0.160196873
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,-0.160187367
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Trans_Ct^2,-0.160166657
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,-0.159007488
poly__Dependent_count Total_Ct_Chng_Q4_Q1^2,0.158614706
poly__Avg_Utilization_Ratio^3 Months_Inactive_12_mon,0.15824411
poly__Avg_Utilization_Ratio Total_Relationship_Count^2,-0.157785051
poly__Contacts_Count_12_mon Dependent_count Total_Revolving_Bal Total_Trans_Amt,0.1574809
poly__Dependent_count^2 Total_Relationship_Count^2,-0.157404187
poly__Dependent_count^2 Months_Inactive_12_mon Total_Revolving_Bal,0.157372258
poly__Dependent_count^2 Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,-0.157146118
poly__Dependent_count^2 Total_Trans_Amt Total_Trans_Ct,-0.156940564
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Relationship_Count Total_Trans_Amt,0.156934043
poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt,-0.156768566
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,0.156204281
poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Trans_Ct^2,0.156144769
poly__Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt Total_Trans_Ct,0.155020472
poly__Avg_Utilization_Ratio^2 Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,-0.155019933
poly__Avg_Utilization_Ratio Dependent_count^2 Months_Inactive_12_mon,-0.154561403
poly__Total_Ct_Chng_Q4_Q1,-0.154404127
poly__Dependent_count Months_Inactive_12_mon Total_Relationship_Count Total_Revolving_Bal,0.154357073
poly__Contacts_Count_12_mon^3 Total_Trans_Amt,0.154101654
poly__Dependent_count^3 Total_Trans_Ct,0.152096511
poly__Total_Relationship_Count Total_Trans_Ct,-0.151781836
poly__Contacts_Count_12_mon^2 Dependent_count Total_Amt_Chng_Q4_Q1,0.151680988
poly__Total_Revolving_Bal Total_Trans_Amt^2 Total_Trans_Ct,0.151621422
poly__Months_Inactive_12_mon Total_Relationship_Count^3,0.150847094
poly__Dependent_count Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1^2,0.150813794
poly__Avg_Utilization_Ratio Total_Trans_Amt,-0.150542788
poly__Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt^2,-0.150344381
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,0.150032996
poly__Dependent_count^3 Months_Inactive_12_mon,0.149843666
poly__Avg_Utilization_Ratio^2 Total_Amt_Chng_Q4_Q1,-0.149760626
poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,0.148872177
poly__Contacts_Count_12_mon Months_Inactive_12_mon,0.147402439
poly__Dependent_count^3 Total_Ct_Chng_Q4_Q1,-0.147144944
poly__Avg_Utilization_Ratio Dependent_count Months_Inactive_12_mon Total_Revolving_Bal,0.146889184
poly__Avg_Utilization_Ratio^2 Contacts_Count_12_mon Total_Revolving_Bal,-0.146087456
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,-0.145382759
poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,-0.145371177
poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1^2 Total_Revolving_Bal,-0.145085688
poly__Contacts_Count_12_mon Total_Revolving_Bal^2 Total_Trans_Ct,-0.144962672
poly__Total_Amt_Chng_Q4_Q1^2 Total_Revolving_Bal Total_Trans_Ct,0.144726288
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Relationship_Count^2,0.144067885
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1^2 Total_Trans_Ct,-0.143976442
poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1^2 Total_Relationship_Count,-0.143923966
poly__Avg_Utilization_Ratio^2 Total_Trans_Ct^2,-0.14383625
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Amt^2,-0.143687875
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal^2,-0.143440728
poly__Total_Relationship_Count Total_Revolving_Bal Total_Trans_Amt^2,0.142932818
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1^2 Total_Relationship_Count,-0.142694072
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Trans_Amt^2,0.142542607
poly__Avg_Utilization_Ratio^2 Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,0.141832433
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Trans_Amt,0.141476776
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Dependent_count Total_Revolving_Bal,-0.141442995
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Ct^2,-0.140565214
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1^2,-0.140423356
poly__Dependent_count Total_Ct_Chng_Q4_Q1^2 Total_Trans_Amt,0.139981759
poly__Contacts_Count_12_mon Dependent_count Months_Inactive_12_mon^2,-0.139425988
poly__Avg_Utilization_Ratio Dependent_count Total_Relationship_Count^2,0.138702626
poly__Contacts_Count_12_mon Dependent_count Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,0.138602504
poly__Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,0.137893316
poly__Total_Ct_Chng_Q4_Q1^2,-0.13751446
poly__Total_Ct_Chng_Q4_Q1^2 Total_Relationship_Count Total_Revolving_Bal,0.137270081
poly__Avg_Utilization_Ratio Total_Relationship_Count Total_Revolving_Bal^2,-0.137128391
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1^2 Total_Ct_Chng_Q4_Q1,-0.137067468
poly__Dependent_count^2 Total_Revolving_Bal Total_Trans_Amt,-0.136331823
poly__Contacts_Count_12_mon Dependent_count Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,-0.135807137
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Relationship_Count,-0.134903219
poly__Total_Revolving_Bal^2 Total_Trans_Amt,0.134650971
poly__Avg_Utilization_Ratio^2 Dependent_count Total_Trans_Amt,0.134550694
poly__Dependent_count^2 Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,0.134422606
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.134421587
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Revolving_Bal^2,0.134129737
poly__Contacts_Count_12_mon Dependent_count Total_Trans_Ct,-0.134107256
poly__Months_Inactive_12_mon Total_Revolving_Bal^3,0.134069651
poly__Total_Amt_Chng_Q4_Q1^2 Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.133740074
poly__Months_Inactive_12_mon^3,0.13325815
poly__Contacts_Count_12_mon Dependent_count Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.133180319
poly__Total_Amt_Chng_Q4_Q1^2 Total_Ct_Chng_Q4_Q1^2,0.132381846
poly__Total_Amt_Chng_Q4_Q1^2 Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,0.131667678
poly__Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt Total_Trans_Ct,-0.131321466
poly__Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal^2 Total_Trans_Amt,-0.13065389
poly__Avg_Utilization_Ratio^2 Total_Ct_Chng_Q4_Q1^2,0.130523287
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Relationship_Count,-0.130501809
remainder__Education_Level,0.130286683
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Trans_Amt,-0.129377611
poly__Dependent_count^2 Total_Revolving_Bal^2,0.128837592
poly__Avg_Utilization_Ratio^2 Dependent_count^2,-0.128654004
poly__Total_Ct_Chng_Q4_Q1^3 Total_Trans_Ct,-0.128558504
poly__Avg_Utilization_Ratio^2 Total_Revolving_Bal Total_Trans_Ct,-0.128491189
poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1^2 Total_Trans_Ct,0.127874835
poly__Avg_Utilization_Ratio Months_Inactive_12_mon^2,-0.127379949
poly__Contacts_Count_12_mon^3 Total_Ct_Chng_Q4_Q1,0.127173365
poly__Total_Relationship_Count^2 Total_Trans_Ct^2,0.127011924
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,0.126976839
poly__Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt^2,-0.126819679
poly__Contacts_Count_12_mon^2 Total_Ct_Chng_Q4_Q1,0.126446739
poly__Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal^2 Total_Trans_Ct,0.126216111
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,-0.124779127
poly__Months_Inactive_12_mon^2 Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,-0.124765532
poly__Avg_Utilization_Ratio Total_Relationship_Count Total_Revolving_Bal Total_Trans_Amt,-0.124370003
poly__Avg_Utilization_Ratio Dependent_count Months_Inactive_12_mon Total_Relationship_Count,-0.123183105
poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct^2,0.123135736
poly__Avg_Utilization_Ratio Dependent_count Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.122122799
poly__Avg_Utilization_Ratio^2 Months_Inactive_12_mon,-0.122052613
poly__Avg_Utilization_Ratio^2 Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,0.121290113
poly__Months_Inactive_12_mon Total_Trans_Amt^2 Total_Trans_Ct,0.120492878
poly__Avg_Utilization_Ratio^3,-0.120458312
poly__Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal^3,0.12012178
poly__Avg_Utilization_Ratio Dependent_count Total_Relationship_Count,0.119878042
poly__Avg_Utilization_Ratio^2 Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,0.119824668
poly__Months_Inactive_12_mon Total_Trans_Amt Total_Trans_Ct,-0.119334745
poly__Dependent_count^2 Total_Amt_Chng_Q4_Q1,0.118547129
poly__Avg_Utilization_Ratio Months_Inactive_12_mon^2 Total_Trans_Amt,-0.116951884
poly__Dependent_count Total_Relationship_Count Total_Trans_Amt Total_Trans_Ct,-0.115931751
poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1^3,0.115143722
poly__Dependent_count Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1^2,0.114947339
poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1^2,-0.114060686
poly__Avg_Utilization_Ratio^3 Dependent_count,0.113275013
poly__Total_Relationship_Count Total_Revolving_Bal^2,0.112981312
poly__Dependent_count Total_Revolving_Bal Total_Trans_Ct^2,0.112505601
poly__Total_Trans_Ct^3,0.111969855
poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal Total_Trans_Ct,0.111242165
poly__Total_Revolving_Bal Total_Trans_Amt,-0.110146153
poly__Avg_Utilization_Ratio^2 Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1,-0.109714641
poly__Avg_Utilization_Ratio Dependent_count Total_Amt_Chng_Q4_Q1,0.109606992
poly__Avg_Utilization_Ratio^2 Total_Amt_Chng_Q4_Q1^2,0.109293535
poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,-0.109123228
poly__Dependent_count Months_Inactive_12_mon^2 Total_Amt_Chng_Q4_Q1,-0.109061172
poly__Avg_Utilization_Ratio^2 Total_Ct_Chng_Q4_Q1,-0.10864531
poly__Total_Revolving_Bal Total_Trans_Amt Total_Trans_Ct,-0.107912661
poly__Dependent_count^2 Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,0.10773676
poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Ct^2,-0.107379327
poly__Avg_Utilization_Ratio Contacts_Count_12_mon^2 Months_Inactive_12_mon,0.107103365
poly__Contacts_Count_12_mon Dependent_count^2 Total_Relationship_Count,-0.106624861
poly__Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,0.105509978
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct,-0.105475878
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,0.105436978
poly__Dependent_count Total_Revolving_Bal^3,0.104784668
poly__Avg_Utilization_Ratio^2 Total_Trans_Ct,-0.104369142
poly__Dependent_count Total_Trans_Ct^2,-0.103893027
poly__Dependent_count Months_Inactive_12_mon Total_Relationship_Count Total_Trans_Ct,0.103821349
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt,-0.103598683
poly__Total_Ct_Chng_Q4_Q1^3,0.10343437
poly__Dependent_count^2 Total_Ct_Chng_Q4_Q1,-0.103130897
poly__Dependent_count^2 Total_Revolving_Bal,0.103060053
poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1^2 Total_Trans_Amt,0.103018007
poly__Avg_Utilization_Ratio Total_Relationship_Count Total_Trans_Amt,-0.1023278
poly__Avg_Utilization_Ratio Dependent_count Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,-0.101317736
poly__Contacts_Count_12_mon Months_Inactive_12_mon^3,0.100345547
poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,-0.100296956
poly__Avg_Utilization_Ratio^2 Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1,0.09995953
poly__Contacts_Count_12_mon^2 Dependent_count Total_Revolving_Bal,0.099934551
poly__Months_Inactive_12_mon^3 Total_Trans_Ct,-0.099777898
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Months_Inactive_12_mon Total_Trans_Ct,-0.099545676
poly__Dependent_count Months_Inactive_12_mon Total_Trans_Ct^2,-0.099193369
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,0.099086529
poly__Months_Inactive_12_mon^3 Total_Ct_Chng_Q4_Q1,-0.09872404
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct,-0.09870525
poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal^2,-0.09861283
poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt,0.097861579
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.097731474
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1,0.097602916
poly__Total_Ct_Chng_Q4_Q1^2 Total_Trans_Ct,-0.097359925
poly__Contacts_Count_12_mon^2 Total_Amt_Chng_Q4_Q1,-0.0967112
poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Relationship_Count Total_Revolving_Bal,0.096496661
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,0.096468181
poly__Avg_Utilization_Ratio Total_Revolving_Bal^3,-0.096320364
poly__Avg_Utilization_Ratio,-0.096218063
poly__Avg_Utilization_Ratio Total_Trans_Amt Total_Trans_Ct,-0.095923756
poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct,0.095635233
poly__Contacts_Count_12_mon^2 Dependent_count Total_Ct_Chng_Q4_Q1,-0.094827268
poly__Dependent_count Months_Inactive_12_mon Total_Relationship_Count Total_Trans_Amt,0.094715296
poly__Contacts_Count_12_mon^2 Total_Revolving_Bal Total_Trans_Ct,-0.094695472
poly__Months_Inactive_12_mon Total_Relationship_Count Total_Revolving_Bal Total_Trans_Amt,0.094377343
poly__Months_Inactive_12_mon Total_Trans_Ct^3,0.094279974
poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1^2,0.09411245
poly__Dependent_count Total_Amt_Chng_Q4_Q1^2 Total_Ct_Chng_Q4_Q1,-0.093741781
poly__Dependent_count Total_Revolving_Bal Total_Trans_Ct,-0.09289552
poly__Dependent_count Total_Amt_Chng_Q4_Q1^2 Total_Revolving_Bal,-0.092829182
poly__Avg_Utilization_Ratio^2 Dependent_count,-0.092720749
poly__Total_Amt_Chng_Q4_Q1^2 Total_Relationship_Count,-0.092423706
poly__Dependent_count Total_Relationship_Count Total_Revolving_Bal,0.09241898
poly__Total_Ct_Chng_Q4_Q1^2 Total_Revolving_Bal Total_Trans_Amt,0.092396166
poly__Total_Amt_Chng_Q4_Q1^2 Total_Ct_Chng_Q4_Q1,-0.092112597
poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal,0.091327454
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal^2,-0.091184169
poly__Total_Amt_Chng_Q4_Q1^2 Total_Revolving_Bal^2,0.090805023
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Relationship_Count Total_Revolving_Bal,-0.090409899
poly__Avg_Utilization_Ratio Total_Revolving_Bal,0.089520352
poly__Months_Inactive_12_mon^2 Total_Trans_Amt,0.089064305
poly__Dependent_count^2 Total_Trans_Ct^2,-0.088610115
poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.088105827
poly__Contacts_Count_12_mon Dependent_count Months_Inactive_12_mon Total_Revolving_Bal,-0.087858563
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt,0.087501392
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Trans_Ct^2,-0.085440613
poly__Avg_Utilization_Ratio^2 Contacts_Count_12_mon,-0.085351316
poly__Contacts_Count_12_mon Dependent_count Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1,0.0853001
poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1^2 Total_Relationship_Count,0.084219266
poly__Contacts_Count_12_mon^2 Months_Inactive_12_mon Total_Trans_Amt,0.084095148
poly__Dependent_count Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,-0.083952509
poly__Dependent_count Total_Ct_Chng_Q4_Q1^2 Total_Revolving_Bal,-0.082944753
poly__Avg_Utilization_Ratio Total_Relationship_Count Total_Trans_Ct,-0.082874963
poly__Dependent_count Total_Revolving_Bal^2 Total_Trans_Ct,0.082304026
poly__Dependent_count Total_Relationship_Count^2 Total_Revolving_Bal,-0.081501952
poly__Dependent_count Months_Inactive_12_mon Total_Revolving_Bal,-0.08055517
poly__Months_Inactive_12_mon Total_Revolving_Bal Total_Trans_Amt Total_Trans_Ct,0.080329232
poly__Total_Relationship_Count Total_Revolving_Bal^2 Total_Trans_Amt,0.080195864
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal,0.079760673
poly__Total_Amt_Chng_Q4_Q1^3 Total_Ct_Chng_Q4_Q1,0.079702248
poly__Dependent_count Months_Inactive_12_mon^2 Total_Trans_Ct,0.079577472
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt,-0.07812295
poly__Contacts_Count_12_mon Total_Revolving_Bal Total_Trans_Ct^2,-0.077028605
poly__Avg_Utilization_Ratio Dependent_count Total_Relationship_Count Total_Revolving_Bal,-0.076701791
poly__Months_Inactive_12_mon Total_Relationship_Count^2 Total_Revolving_Bal,-0.075954371
poly__Dependent_count Total_Relationship_Count^2,-0.075773668
poly__Months_Inactive_12_mon^2 Total_Trans_Amt Total_Trans_Ct,-0.073570332
poly__Avg_Utilization_Ratio^2 Total_Relationship_Count Total_Trans_Ct,-0.072140068
poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt,0.072128079
poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,0.071778355
poly__Avg_Utilization_Ratio Dependent_count Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,-0.070750854
poly__Contacts_Count_12_mon Dependent_count Total_Revolving_Bal,0.070739307
poly__Total_Relationship_Count^2 Total_Revolving_Bal Total_Trans_Amt,0.070516261
poly__Dependent_count Total_Ct_Chng_Q4_Q1^3,0.070256209
poly__Dependent_count Total_Amt_Chng_Q4_Q1,-0.068915117
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Revolving_Bal Total_Trans_Ct,0.068773935
poly__Dependent_count Total_Amt_Chng_Q4_Q1^2 Total_Trans_Amt,-0.068686251
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt,-0.06817842
poly__Avg_Utilization_Ratio^2 Contacts_Count_12_mon^2,-0.068109442
poly__Dependent_count Months_Inactive_12_mon Total_Trans_Amt^2,0.067899397
poly__Total_Trans_Amt Total_Trans_Ct^2,0.067755316
poly__Contacts_Count_12_mon^2 Dependent_count Total_Relationship_Count,-0.067631971
poly__Avg_Utilization_Ratio Contacts_Count_12_mon^2 Dependent_count,0.067361191
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1^2 Total_Ct_Chng_Q4_Q1,-0.067345721
poly__Contacts_Count_12_mon Total_Trans_Ct^2,-0.066903281
poly__Avg_Utilization_Ratio Months_Inactive_12_mon,0.066789579
poly__Dependent_count,0.065114078
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Dependent_count Total_Relationship_Count,0.064682157
poly__Avg_Utilization_Ratio Total_Relationship_Count Total_Revolving_Bal,0.063606398
poly__Contacts_Count_12_mon Dependent_count^2 Total_Revolving_Bal,0.063515322
poly__Dependent_count Total_Revolving_Bal^2,-0.063271959
poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1,0.063228663
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Relationship_Count^2,0.062525835
poly__Avg_Utilization_Ratio Total_Revolving_Bal Total_Trans_Amt^2,0.062068035
poly__Contacts_Count_12_mon Total_Relationship_Count Total_Revolving_Bal,-0.061833464
poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,-0.061535127
poly__Months_Inactive_12_mon^2 Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,-0.06143157
poly__Contacts_Count_12_mon^2 Dependent_count^2,0.061314666
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,-0.060977705
poly__Dependent_count Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1,-0.060645044
poly__Dependent_count^2 Months_Inactive_12_mon,0.060018852
poly__Avg_Utilization_Ratio^2 Total_Trans_Amt,-0.060015345
poly__Contacts_Count_12_mon^2 Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,0.060000977
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal^2,-0.059827595
poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1,0.059524322
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Months_Inactive_12_mon Total_Relationship_Count,-0.058630644
poly__Dependent_count Total_Revolving_Bal^2 Total_Trans_Amt,0.058306406
poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1^2 Total_Trans_Ct,-0.058248308
poly__Dependent_count^2 Total_Relationship_Count Total_Trans_Amt,-0.058085099
poly__Avg_Utilization_Ratio^2 Contacts_Count_12_mon Total_Trans_Amt,-0.057989831
poly__Avg_Utilization_Ratio Dependent_count Total_Amt_Chng_Q4_Q1^2,0.057641104
poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct^2,-0.05753661
poly__Dependent_count Total_Trans_Amt^2 Total_Trans_Ct,-0.056587692
poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,0.056435604
poly__Contacts_Count_12_mon Dependent_count Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,0.056304681
poly__Months_Inactive_12_mon Total_Relationship_Count Total_Trans_Ct,-0.055967087
poly__Months_Inactive_12_mon Total_Relationship_Count Total_Revolving_Bal,-0.055869491
poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,0.055850707
poly__Avg_Utilization_Ratio Dependent_count Total_Revolving_Bal Total_Trans_Amt,-0.055394448
poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal^2,-0.055359518
poly__Dependent_count Total_Trans_Amt Total_Trans_Ct,0.055108955
poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,-0.054852504
poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Revolving_Bal^2,-0.052761576
poly__Dependent_count Total_Relationship_Count Total_Revolving_Bal Total_Trans_Amt,-0.05250784
poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1,0.052412402
poly__Months_Inactive_12_mon^2 Total_Revolving_Bal,-0.05219003
poly__Dependent_count Total_Ct_Chng_Q4_Q1^2 Total_Trans_Ct,-0.052181359
poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,0.052110062
poly__Contacts_Count_12_mon Dependent_count^2 Total_Ct_Chng_Q4_Q1,0.051881061
poly__Contacts_Count_12_mon Dependent_count Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,0.051678043
poly__Avg_Utilization_Ratio Total_Trans_Ct^2,0.051193555
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,-0.050693196
poly__Months_Inactive_12_mon Total_Relationship_Count,0.050070061
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,0.049951177
poly__Dependent_count^3 Total_Trans_Amt,0.049447473
poly__Avg_Utilization_Ratio^2 Dependent_count Total_Relationship_Count,-0.048318878
poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1^2 Total_Trans_Ct,-0.047322787
poly__Contacts_Count_12_mon Total_Revolving_Bal Total_Trans_Amt,0.046758949
poly__Avg_Utilization_Ratio^2 Total_Revolving_Bal,0.046135082
poly__Contacts_Count_12_mon Dependent_count^3,-0.04592042
poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,-0.045334922
remainder__Card_Category,0.044960509
poly__Total_Amt_Chng_Q4_Q1^4,0.044747374
