",features,Coefficients"
"741,poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1^2,-0.2394003773092524"
"220,poly__Months_Inactive_12_mon Total_Relationship_Count^2,0.23982362643153565"
"816,poly__Months_Inactive_12_mon^2 Total_Trans_Amt^2,0.24233132071599078"
"537,poly__Contacts_Count_12_mon^2 Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,-0.24400019394177097"
"209,poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1^2,0.24402146983418532"
"882,poly__Total_Amt_Chng_Q4_Q1^2 Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,-0.24477850118879185"
"283,poly__Total_Trans_Amt^2 Total_Trans_Ct,-0.2456567610697767"
"471,poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1^3,-0.24625046975769793"
"59,poly__Total_Relationship_Count Total_Trans_Ct,-0.24642387721453302"
"596,poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,-0.24670439153374535"
"435,poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1^2,0.24725384991558072"
"951,poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal Total_Trans_Amt,0.24778940009106232"
"765,poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal^2,-0.24849186392322042"
"320,poly__Avg_Utilization_Ratio^2 Total_Amt_Chng_Q4_Q1^2,0.24912187739227815"
"501,poly__Avg_Utilization_Ratio Total_Revolving_Bal Total_Trans_Ct^2,0.24964680603843326"
"559,poly__Contacts_Count_12_mon Dependent_count Months_Inactive_12_mon^2,-0.2512934689236613"
"240,poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,-0.2516669813531813"
"568,poly__Contacts_Count_12_mon Dependent_count Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,-0.2529271221011403"
"944,poly__Total_Ct_Chng_Q4_Q1^2 Total_Trans_Amt Total_Trans_Ct,0.2547967716611983"
"916,poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal Total_Trans_Amt,0.2549251056852158"
"271,poly__Total_Relationship_Count Total_Revolving_Bal Total_Trans_Amt,0.2553999282144351"
"740,poly__Dependent_count Total_Amt_Chng_Q4_Q1^2 Total_Trans_Ct,-0.2560014815916788"
"127,poly__Contacts_Count_12_mon^2 Total_Revolving_Bal,-0.2580928658133873"
"310,poly__Avg_Utilization_Ratio^2 Dependent_count Total_Revolving_Bal,-0.2581943550680376"
"904,poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct,-0.25876979421725804"
"285,poly__Total_Trans_Ct^3,0.25939886201414286"
"903,poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt,-0.2594353116485674"
"821,poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1^2 Total_Relationship_Count,-0.2601291809062165"
"26,poly__Contacts_Count_12_mon Total_Relationship_Count,-0.2602894239487154"
"381,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Revolving_Bal Total_Trans_Amt,0.2606266442734991"
"156,poly__Contacts_Count_12_mon Total_Relationship_Count^2,0.2608300848482906"
"392,poly__Avg_Utilization_Ratio Dependent_count^2 Total_Trans_Amt,0.26140375787966197"
"327,poly__Avg_Utilization_Ratio^2 Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,0.2614271624775825"
"862,poly__Months_Inactive_12_mon Total_Relationship_Count Total_Trans_Amt^2,0.26166722217634086"
"851,poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct,0.26190099643587766"
"247,poly__Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct,0.26304730240882057"
"779,poly__Dependent_count Total_Relationship_Count Total_Trans_Amt Total_Trans_Ct,0.2635117929083338"
"764,poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct,-0.26373754642066377"
"733,poly__Dependent_count Months_Inactive_12_mon Total_Trans_Amt Total_Trans_Ct,-0.2638596952790049"
"388,poly__Avg_Utilization_Ratio Dependent_count^2 Total_Amt_Chng_Q4_Q1,0.2639650718890914"
"99,poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Trans_Ct,-0.2639665261664808"
"382,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Revolving_Bal Total_Trans_Ct,0.2639853160338027"
"682,poly__Dependent_count^2 Months_Inactive_12_mon Total_Relationship_Count,0.2641782787460878"
"13,poly__Avg_Utilization_Ratio Dependent_count,0.2642989635623643"
"600,poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1^2,-0.26480131891138065"
"141,poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Relationship_Count,-0.2650760573403056"
"364,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Months_Inactive_12_mon Total_Trans_Ct,-0.2652135305589312"
"757,poly__Dependent_count Total_Ct_Chng_Q4_Q1^2 Total_Relationship_Count,-0.2652938681849954"
"143,poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Trans_Amt,0.2655234043462192"
"920,poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct^2,0.26583355651225193"
"195,poly__Dependent_count Total_Relationship_Count Total_Trans_Ct,0.26588844659088956"
"859,poly__Months_Inactive_12_mon Total_Relationship_Count Total_Revolving_Bal^2,-0.26635202336364666"
"360,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1,0.26746477485565057"
"12,poly__Avg_Utilization_Ratio Contacts_Count_12_mon,0.26760473777523747"
"807,poly__Months_Inactive_12_mon^2 Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,-0.26763845955226767"
"45,poly__Total_Amt_Chng_Q4_Q1^2,0.2703897355420262"
"575,poly__Contacts_Count_12_mon Dependent_count Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,0.2705053586131226"
"196,poly__Dependent_count Total_Revolving_Bal^2,-0.2705557301404449"
"958,poly__Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal^2 Total_Trans_Ct,0.2707218788644702"
"371,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1^2,-0.27203681984038475"
"210,poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1,-0.2731429604151456"
"860,poly__Months_Inactive_12_mon Total_Relationship_Count Total_Revolving_Bal Total_Trans_Amt,0.27341626848006456"
"795,poly__Months_Inactive_12_mon^3 Total_Revolving_Bal,0.2734590746047293"
"520,poly__Contacts_Count_12_mon^2 Dependent_count Total_Revolving_Bal,0.273560076249131"
"243,poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt,0.27420432726903493"
"153,poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,0.2746786469003774"
"159,poly__Contacts_Count_12_mon Total_Relationship_Count Total_Trans_Ct,0.2749571829247812"
"774,poly__Dependent_count Total_Relationship_Count^2 Total_Trans_Ct,-0.2754153340861319"
"538,poly__Contacts_Count_12_mon^2 Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,-0.2758087404054562"
"284,poly__Total_Trans_Amt Total_Trans_Ct^2,0.2765746815428754"
"191,poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.2769486095523496"
"975,poly__Total_Relationship_Count^2 Total_Trans_Ct^2,0.27785535565893504"
"258,poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt,0.2798454500901252"
"346,poly__Avg_Utilization_Ratio Contacts_Count_12_mon^2 Total_Relationship_Count,-0.2823359927422625"
"244,poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct,-0.2824730243982697"
"987,poly__Total_Revolving_Bal^3 Total_Trans_Amt,-0.28275973779734165"
"853,poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct,0.2850324684458688"
"252,poly__Total_Ct_Chng_Q4_Q1^2 Total_Relationship_Count,-0.28591228569177574"
"696,poly__Dependent_count^2 Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,-0.28596295550767165"
"945,poly__Total_Ct_Chng_Q4_Q1^2 Total_Trans_Ct^2,0.28752943795526975"
"720,poly__Dependent_count Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1^2,0.2877372552375293"
"803,poly__Months_Inactive_12_mon^2 Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,0.2878017252126668"
"22,poly__Contacts_Count_12_mon Dependent_count,0.289092583968815"
"67,poly__Avg_Utilization_Ratio^2 Contacts_Count_12_mon,-0.2926725118963987"
"347,poly__Avg_Utilization_Ratio Contacts_Count_12_mon^2 Total_Revolving_Bal,0.29313674735348744"
"129,poly__Contacts_Count_12_mon^2 Total_Trans_Ct,-0.29314028614764276"
"359,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1,0.29315957345741767"
"177,poly__Dependent_count Months_Inactive_12_mon Total_Relationship_Count,0.29339795363073545"
"999,poly__Total_Trans_Amt Total_Trans_Ct^3,0.29502280720760604"
"369,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Amt,-0.29535878658396875"
"814,poly__Months_Inactive_12_mon^2 Total_Revolving_Bal Total_Trans_Amt,-0.2961191083849209"
"621,poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1^2,-0.29642381361485903"
"782,poly__Dependent_count Total_Revolving_Bal^2 Total_Trans_Amt,0.2968578076896316"
"376,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Relationship_Count^2,0.2973482241841385"
"638,poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1^2 Total_Revolving_Bal,-0.2974694732686085"
"558,poly__Contacts_Count_12_mon Dependent_count^2 Total_Trans_Ct,-0.2976711820552871"
"994,poly__Total_Revolving_Bal Total_Trans_Amt Total_Trans_Ct^2,-0.2979138490349083"
"201,poly__Dependent_count Total_Trans_Ct^2,-0.29793454837875455"
"889,poly__Total_Amt_Chng_Q4_Q1^2 Total_Relationship_Count Total_Trans_Ct,0.2984510147914367"
"507,poly__Contacts_Count_12_mon^3 Dependent_count,0.29954629740604116"
"406,poly__Avg_Utilization_Ratio Dependent_count Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,-0.30167246631148065"
"714,poly__Dependent_count Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1^2,0.30178663507871967"
"374,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,-0.3032349679035894"
"972,poly__Total_Relationship_Count^2 Total_Revolving_Bal Total_Trans_Ct,-0.30361943714372824"
"87,poly__Avg_Utilization_Ratio Dependent_count Total_Amt_Chng_Q4_Q1,0.30409022832901333"
"454,poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1^2 Total_Trans_Amt,-0.30449232723820946"
"323,poly__Avg_Utilization_Ratio^2 Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,0.30496333393842096"
"662,poly__Contacts_Count_12_mon Total_Revolving_Bal^2 Total_Trans_Amt,-0.30496381333606454"
"574,poly__Contacts_Count_12_mon Dependent_count Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,-0.30524973784881704"
"118,poly__Avg_Utilization_Ratio Total_Trans_Amt^2,0.30585408070082265"
"674,poly__Dependent_count^3 Total_Ct_Chng_Q4_Q1,-0.3060043331091426"
"34,poly__Dependent_count Total_Relationship_Count,-0.306467126810631"
"398,poly__Avg_Utilization_Ratio Dependent_count Months_Inactive_12_mon Total_Revolving_Bal,0.30733555397500534"
"349,poly__Avg_Utilization_Ratio Contacts_Count_12_mon^2 Total_Trans_Ct,0.30757334933702485"
"277,poly__Total_Revolving_Bal^2 Total_Trans_Amt,-0.3097523109106676"
"267,poly__Total_Relationship_Count^2 Total_Revolving_Bal,-0.31023524884400944"
"144,poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Trans_Ct,-0.310693348119159"
"417,poly__Avg_Utilization_Ratio Dependent_count Total_Revolving_Bal Total_Trans_Amt,0.31160028411678137"
"72,poly__Avg_Utilization_Ratio^2 Total_Relationship_Count,-0.3135535217827149"
"56,poly__Total_Relationship_Count^2,0.3139795183053177"
"68,poly__Avg_Utilization_Ratio^2 Dependent_count,-0.31496334771008516"
"100,poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1^2,-0.31546503004217963"
"212,poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,-0.31566588694411307"
"592,poly__Contacts_Count_12_mon Months_Inactive_12_mon^2 Total_Trans_Amt,-0.3181307507720839"
"826,poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,0.31866372783784963"
"345,poly__Avg_Utilization_Ratio Contacts_Count_12_mon^2 Total_Ct_Chng_Q4_Q1,-0.3186895524965719"
"444,poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Revolving_Bal^2,0.3193747056550026"
"597,poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,0.3196036222819673"
"391,poly__Avg_Utilization_Ratio Dependent_count^2 Total_Revolving_Bal,0.31961388101309446"
"319,poly__Avg_Utilization_Ratio^2 Months_Inactive_12_mon Total_Trans_Ct,-0.3207188406271489"
"226,poly__Months_Inactive_12_mon Total_Revolving_Bal Total_Trans_Ct,0.32186546299143265"
"745,poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.3219832436193981"
"654,poly__Contacts_Count_12_mon Total_Relationship_Count^2 Total_Trans_Ct,-0.322032599697661"
"70,poly__Avg_Utilization_Ratio^2 Total_Amt_Chng_Q4_Q1,-0.32233264828822167"
"651,poly__Contacts_Count_12_mon Total_Relationship_Count^3,0.32274417933694544"
"924,poly__Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt^2,-0.3246517090070041"
"107,poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,0.32486128657839186"
"872,poly__Months_Inactive_12_mon Total_Trans_Amt^2 Total_Trans_Ct,0.3263071976993286"
"311,poly__Avg_Utilization_Ratio^2 Dependent_count Total_Trans_Amt,0.3294901492868986"
"19,poly__Avg_Utilization_Ratio Total_Trans_Amt,-0.33004582115364606"
"455,poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1^2 Total_Trans_Ct,0.33013052649127245"
"409,poly__Avg_Utilization_Ratio Dependent_count Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,-0.3310824785662989"
"676,poly__Dependent_count^3 Total_Revolving_Bal,-0.331559425646165"
"590,poly__Contacts_Count_12_mon Months_Inactive_12_mon^2 Total_Relationship_Count,0.33225750829582335"
"225,poly__Months_Inactive_12_mon Total_Revolving_Bal Total_Trans_Amt,0.33243048734105357"
"991,poly__Total_Revolving_Bal^2 Total_Trans_Ct^2,-0.33329773895617554"
"64,poly__Total_Trans_Amt Total_Trans_Ct,0.3336089759211465"
"584,poly__Contacts_Count_12_mon Dependent_count Total_Trans_Amt^2,0.3338131041150028"
"937,poly__Total_Ct_Chng_Q4_Q1^2 Total_Relationship_Count Total_Revolving_Bal,0.3348110693726694"
"338,poly__Avg_Utilization_Ratio^2 Total_Trans_Amt^2,-0.33493552567857565"
"657,poly__Contacts_Count_12_mon Total_Relationship_Count Total_Revolving_Bal Total_Trans_Ct,-0.3355955211175286"
"978,poly__Total_Relationship_Count Total_Revolving_Bal^2 Total_Trans_Ct,0.3359000134830474"
"341,poly__Avg_Utilization_Ratio Contacts_Count_12_mon^3,0.3361142886067775"
"248,poly__Total_Amt_Chng_Q4_Q1 Total_Trans_Amt^2,-0.33670245814385114"
"652,poly__Contacts_Count_12_mon Total_Relationship_Count^2 Total_Revolving_Bal,0.33747896114030357"
"260,poly__Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal^2,0.3390932870126481"
"109,poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,-0.33930722859747103"
"348,poly__Avg_Utilization_Ratio Contacts_Count_12_mon^2 Total_Trans_Amt,0.34220005917754953"
"350,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Dependent_count^2,0.3427151323911487"
"422,poly__Avg_Utilization_Ratio Months_Inactive_12_mon^3,0.34482510947337597"
"909,poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct,-0.3454282399447433"
"930,poly__Total_Amt_Chng_Q4_Q1 Total_Trans_Ct^3,0.34613678058448777"
"569,poly__Contacts_Count_12_mon Dependent_count Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,-0.3470329656749305"
"619,poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1^2 Total_Trans_Amt,0.3479682806349336"
"357,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Dependent_count Total_Trans_Ct,0.34827964753577945"
"939,poly__Total_Ct_Chng_Q4_Q1^2 Total_Relationship_Count Total_Trans_Ct,-0.3487891266989338"
"86,poly__Avg_Utilization_Ratio Dependent_count Months_Inactive_12_mon,0.34938074759747745"
"227,poly__Months_Inactive_12_mon Total_Trans_Amt^2,0.35028641081906187"
"957,poly__Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal^2 Total_Trans_Amt,-0.3502893594230144"
"905,poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal^2,0.3504754125531135"
"772,poly__Dependent_count Total_Relationship_Count^2 Total_Revolving_Bal,-0.35099914194605264"
"578,poly__Contacts_Count_12_mon Dependent_count Total_Relationship_Count Total_Revolving_Bal,-0.35127066991088324"
"635,poly__Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Ct^2,-0.35139663966821033"
"976,poly__Total_Relationship_Count Total_Revolving_Bal^3,0.35202834396711485"
"329,poly__Avg_Utilization_Ratio^2 Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,0.352732154430087"
"839,poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Ct^2,0.35318330726078506"
"273,poly__Total_Relationship_Count Total_Trans_Amt^2,0.354128823588593"
"949,poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count^2 Total_Trans_Ct,0.35450959772119683"
"297,poly__Avg_Utilization_Ratio^2 Contacts_Count_12_mon Dependent_count,-0.35523869680045633"
"253,poly__Total_Ct_Chng_Q4_Q1^2 Total_Revolving_Bal,-0.35540288167351963"
"836,poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct,-0.3563263327013611"
"609,poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Revolving_Bal^2,-0.3571344757216572"
"39,poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1,0.3584883129585254"
"300,poly__Avg_Utilization_Ratio^2 Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1,-0.3584904236679391"
"265,poly__Total_Ct_Chng_Q4_Q1 Total_Trans_Ct^2,0.3593153292217816"
"593,poly__Contacts_Count_12_mon Months_Inactive_12_mon^2 Total_Trans_Ct,-0.3600673300578904"
"477,poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal,-0.3601627883418069"
"845,poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Relationship_Count^2,0.36057569555866387"
"365,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1^2,0.36117689011110415"
"608,poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Relationship_Count Total_Trans_Ct,0.3618530526357032"
"162,poly__Contacts_Count_12_mon Total_Revolving_Bal Total_Trans_Ct,-0.36570736930535036"
"789,poly__Dependent_count Total_Trans_Amt Total_Trans_Ct^2,0.36824166486891896"
"389,poly__Avg_Utilization_Ratio Dependent_count^2 Total_Ct_Chng_Q4_Q1,0.36893753554331676"
"313,poly__Avg_Utilization_Ratio^2 Months_Inactive_12_mon^2,-0.3692337818952894"
"287,poly__Avg_Utilization_Ratio^3 Contacts_Count_12_mon,0.37160408496819314"
"581,poly__Contacts_Count_12_mon Dependent_count Total_Revolving_Bal^2,-0.3720296700946731"
"131,poly__Contacts_Count_12_mon Dependent_count Months_Inactive_12_mon,0.372172572631148"
"669,poly__Contacts_Count_12_mon Total_Trans_Amt Total_Trans_Ct^2,-0.3737886422136287"
"912,poly__Total_Amt_Chng_Q4_Q1 Total_Relationship_Count^2 Total_Revolving_Bal,-0.37401886816729524"
"66,poly__Avg_Utilization_Ratio^3,-0.3754304162713657"
"878,poly__Total_Amt_Chng_Q4_Q1^3 Total_Revolving_Bal,0.37583537145219914"
"6,poly__Total_Ct_Chng_Q4_Q1,-0.3758372271898578"
"658,poly__Contacts_Count_12_mon Total_Relationship_Count Total_Trans_Amt^2,0.376826113664237"
"28,poly__Contacts_Count_12_mon Total_Trans_Amt,0.37703651717478853"
"452,poly__Avg_Utilization_Ratio Total_Amt_Chng_Q4_Q1^2 Total_Relationship_Count,-0.3796543566939688"
"842,poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1^2 Total_Revolving_Bal,0.38039208246211015"
"514,poly__Contacts_Count_12_mon^3 Total_Trans_Ct,-0.3814503753911837"
"686,poly__Dependent_count^2 Total_Amt_Chng_Q4_Q1^2,-0.3829207823997643"
"954,poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Amt Total_Trans_Ct,0.3830637270597484"
"77,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Dependent_count,0.3840697049614206"
"806,poly__Months_Inactive_12_mon^2 Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal,0.384389343519925"
"706,poly__Dependent_count^2 Total_Trans_Ct^2,-0.38456939152692976"
"989,poly__Total_Revolving_Bal^2 Total_Trans_Amt^2,0.38511163681803695"
"923,poly__Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal^2 Total_Trans_Ct,-0.3856463957846117"
"199,poly__Dependent_count Total_Trans_Amt^2,0.386246103111241"
"532,poly__Contacts_Count_12_mon^2 Total_Amt_Chng_Q4_Q1 Total_Relationship_Count,-0.3867107272863067"
"808,poly__Months_Inactive_12_mon^2 Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.3883242904193199"
"308,poly__Avg_Utilization_Ratio^2 Dependent_count Total_Ct_Chng_Q4_Q1,0.38864461610066786"
"603,poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,0.3889007418141576"
"370,poly__Avg_Utilization_Ratio Contacts_Count_12_mon Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,0.38926425847403795"
"504,poly__Avg_Utilization_Ratio Total_Trans_Amt Total_Trans_Ct^2,0.38963357810734633"
"742,poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,0.38967597618540334"
"498,poly__Avg_Utilization_Ratio Total_Revolving_Bal^2 Total_Trans_Ct,-0.3909471257241214"
"922,poly__Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal^2 Total_Trans_Amt,0.3932160003416773"
"250,poly__Total_Amt_Chng_Q4_Q1 Total_Trans_Ct^2,0.39537490657036406"
"249,poly__Total_Amt_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct,0.39730238957974195"
"219,poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1 Total_Trans_Ct,0.3978261390594174"
"424,poly__Avg_Utilization_Ratio Months_Inactive_12_mon^2 Total_Ct_Chng_Q4_Q1,-0.3996455758767506"
"197,poly__Dependent_count Total_Revolving_Bal Total_Trans_Amt,-0.39973846311899514"
"259,poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Trans_Ct,0.4003224385372573"
"286,poly__Avg_Utilization_Ratio^4,0.40232144103241374"
"62,poly__Total_Revolving_Bal Total_Trans_Ct,0.4028504832153766"
"647,poly__Contacts_Count_12_mon Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct,-0.40374777611731794"
"541,poly__Contacts_Count_12_mon^2 Total_Relationship_Count^2,0.40442044754133355"
"653,poly__Contacts_Count_12_mon Total_Relationship_Count^2 Total_Trans_Amt,-0.4045055638186631"
"926,poly__Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Ct^2,-0.4053752989620461"
"943,poly__Total_Ct_Chng_Q4_Q1^2 Total_Trans_Amt^2,-0.40588792457807615"
"1005,remainder__Gender,-0.4071773649285104"
"509,poly__Contacts_Count_12_mon^3 Total_Amt_Chng_Q4_Q1,0.407215041621572"
"312,poly__Avg_Utilization_Ratio^2 Dependent_count Total_Trans_Ct,0.4073934972353782"
"180,poly__Dependent_count Months_Inactive_12_mon Total_Trans_Ct,-0.4085210488369053"
"264,poly__Total_Ct_Chng_Q4_Q1 Total_Trans_Amt Total_Trans_Ct,0.4100795018879287"
"97,poly__Avg_Utilization_Ratio Months_Inactive_12_mon Total_Revolving_Bal,0.41174532018215637"
"233,poly__Total_Amt_Chng_Q4_Q1^2 Total_Revolving_Bal,-0.41258172688313294"
"729,poly__Dependent_count Months_Inactive_12_mon Total_Revolving_Bal^2,0.4140460743401525"
"766,poly__Dependent_count Total_Ct_Chng_Q4_Q1 Total_Revolving_Bal Total_Trans_Amt,0.41416392369505234"
"557,poly__Contacts_Count_12_mon Dependent_count^2 Total_Trans_Amt,-0.4151950155603628"
"726,poly__Dependent_count Months_Inactive_12_mon Total_Relationship_Count Total_Revolving_Bal,0.4154730495711459"
"819,poly__Months_Inactive_12_mon Total_Amt_Chng_Q4_Q1^3,-0.41618448111690987"
"950,poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count Total_Revolving_Bal^2,0.4166717422349638"
"755,poly__Dependent_count Total_Amt_Chng_Q4_Q1 Total_Trans_Ct^2,-0.4178912507440274"
"239,poly__Total_Amt_Chng_Q4_Q1 Total_Ct_Chng_Q4_Q1 Total_Trans_Amt,-0.41843368355370886"
"843,poly__Months_Inactive_12_mon Total_Ct_Chng_Q4_Q1^2 Total_Trans_Amt,0.42012123059670564"
"801,poly__Months_Inactive_12_mon^2 Total_Amt_Chng_Q4_Q1 Total_Revolving_Bal,-0.42043195928932314"
"472,poly__Avg_Utilization_Ratio Total_Ct_Chng_Q4_Q1^2 Total_Relationship_Count,-0.4205416714335505"
"57,poly__Total_Relationship_Count Total_Revolving_Bal,-0.4235423256948683"
"535,poly__Contacts_Count_12_mon^2 Total_Amt_Chng_Q4_Q1 Total_Trans_Ct,0.42502244414082635"
"279,poly__Total_Revolving_Bal Total_Trans_Amt^2,-0.42516932201411384"
"611,poly__Contacts_Count_12_mon Months_Inactive_12_mon Total_Revolving_Bal Total_Trans_Ct,-0.42525602088921755"
"52,poly__Total_Ct_Chng_Q4_Q1 Total_Relationship_Count,-0.42633129923456803"
